电路名,电路类型,总时间,传输时间,计算时间,内存占用,门数
sc26_vqe_nq5_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq5_nm6_c4,vqe,1265.269700,728.433111,484.638491,453955584.00,64
sc26_vqe_nq5_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq5_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq5_nm7_c4,vqe,12793.616395,11986.422609,739.042515,4480516096.00,72
sc26_vqe_nq5_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq6_nm3_c16,vqe,1313.214234,749.891377,507.520740,453976064.00,64
sc26_vqe_nq6_nm3_c4,vqe,530.087824,12.570581,480.691734,274698240.00,44
sc26_vqe_nq6_nm3_c8,vqe,479.329066,21.141653,400.310287,275460096.00,54
sc26_vqe_nq6_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq6_nm4_c4,vqe,480.252859,13.341668,416.865669,275386368.00,52
sc26_vqe_nq6_nm4_c8,vqe,1302.799161,728.863601,525.850420,453816320.00,66
sc26_vqe_nq6_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq6_nm5_c4,vqe,616.998403,49.315535,496.095488,275636224.00,60
sc26_vqe_nq6_nm5_c8,vqe,45725.984611,45321.616235,355.359008,17365430272.00,78
sc26_vqe_nq6_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq6_nm6_c4,vqe,1554.207314,826.712555,678.642774,453652480.00,68
sc26_vqe_nq6_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq6_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq6_nm7_c4,vqe,11975.246429,11471.942279,457.855646,4480438272.00,76
sc26_vqe_nq6_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq7_nm3_c16,vqe,1253.515547,709.060882,494.299798,453890048.00,68
sc26_vqe_nq7_nm3_c4,vqe,822.214186,9.475307,752.072280,274763776.00,48
sc26_vqe_nq7_nm3_c8,vqe,860.181273,27.559180,776.368886,275611648.00,58
sc26_vqe_nq7_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq7_nm4_c4,vqe,598.197815,6.683039,535.516100,275202048.00,56
sc26_vqe_nq7_nm4_c8,vqe,1478.098719,827.218729,589.831372,453660672.00,70
sc26_vqe_nq7_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq7_nm5_c4,vqe,666.860468,74.043149,527.819601,275345408.00,64
sc26_vqe_nq7_nm5_c8,vqe,40124.217152,39789.906031,269.964572,17365102592.00,82
sc26_vqe_nq7_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq7_nm6_c4,vqe,1232.860289,757.606518,412.139811,453885952.00,72
sc26_vqe_nq7_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq7_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq7_nm7_c4,vqe,12130.327929,11651.083964,428.463744,4480516096.00,80
sc26_vqe_nq7_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq8_nm3_c16,vqe,1235.723362,739.023182,440.910167,453918720.00,72
sc26_vqe_nq8_nm3_c4,vqe,466.260077,18.503059,401.427007,275464192.00,52
sc26_vqe_nq8_nm3_c8,vqe,508.380019,22.466323,432.224278,276131840.00,62
sc26_vqe_nq8_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq8_nm4_c4,vqe,470.806217,18.432227,408.327036,276025344.00,60
sc26_vqe_nq8_nm4_c8,vqe,1331.084544,727.516436,551.394042,453914624.00,74
sc26_vqe_nq8_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq8_nm5_c4,vqe,739.023140,80.860442,600.929043,275910656.00,68
sc26_vqe_nq8_nm5_c8,vqe,31964.854658,31754.992999,160.358777,17365393408.00,86
sc26_vqe_nq8_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq8_nm6_c4,vqe,1290.104674,740.141157,499.634672,453951488.00,76
sc26_vqe_nq8_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq8_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq8_nm7_c4,vqe,11919.997767,11375.132123,483.300124,4480491520.00,84
sc26_vqe_nq8_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq9_nm3_c16,vqe,1428.889830,760.624763,609.848994,453976064.00,76
sc26_vqe_nq9_nm3_c4,vqe,578.994262,20.567479,482.786983,275214336.00,56
sc26_vqe_nq9_nm3_c8,vqe,516.734700,41.217838,420.322584,278999040.00,66
sc26_vqe_nq9_nm4_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq9_nm4_c4,vqe,335.643529,15.562081,284.484883,275554304.00,64
sc26_vqe_nq9_nm4_c8,vqe,1144.586644,638.735706,457.589596,453885952.00,78
sc26_vqe_nq9_nm5_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq9_nm5_c4,vqe,684.479703,70.066736,565.281887,278876160.00,72
sc26_vqe_nq9_nm5_c8,vqe,23873.877747,23692.301360,144.943127,17365057536.00,90
sc26_vqe_nq9_nm6_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq9_nm6_c4,vqe,1233.197290,743.595188,426.479042,453869568.00,80
sc26_vqe_nq9_nm6_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq9_nm7_c16,vqe,0,0,0,0,0,nlocal 超出可用范围
sc26_vqe_nq9_nm7_c4,vqe,9331.407161,8985.186367,285.786342,4480253952.00,88
sc26_vqe_nq9_nm7_c8,vqe,0,0,0,0,0,nlocal 超出可用范围
